Time (sec), Single Slice Throughput (ms), Single Slice Stdev, Static Slices Throughput (ms), Static Slices Stdev, Adaptive Slices Throughput (ms), Adaptive Slices Stdev
104,34.35479647581277,1.4239628779766693,36.48417858876576,0.8563748209206146,24.966174737145245,2.7533361072893823
105,34.298494424847014,1.3637553384644565,36.55133111158223,0.801306003857463,24.51784757940949,2.8874085952192177
106,34.28324698013386,1.3437262361432767,36.61848363439871,0.7354481455710259,24.52811650524968,2.895122916209457
107,34.55026840766048,1.330160245564667,36.68563615721518,0.6555576427167545,24.474699238414082,2.8471025213824017
108,34.817289835187104,1.255464609613968,36.8589884812823,0.5654919721122857,24.421281971578484,2.7971362757097302
109,35.084311262713726,1.1073371298016117,36.868468309333295,0.5750285012237903,24.367864704742882,2.745117926947577
110,35.35133269024035,0.84813836018247,36.87794813738429,0.5842402555526168,24.314447437907283,2.690928470088905
111,35.418697429726286,0.6355678507824151,36.887427965435286,0.593142366965105,24.390725922687135,2.789180992482858
112,35.26009534793821,0.8348245074334272,36.89690779348628,0.6017485779476504,24.97901775787853,2.803110246588522
113,35.101493266150136,0.9667353612598563,36.78855287231307,0.6223087174956212,25.56730959306993,2.678419585661509
114,34.94289118436206,1.056826567817284,36.77691792433952,0.6340751803872963,26.155601428261328,2.3935421190788513
115,34.784289102573986,1.1152790527102043,36.76528297636597,0.6453965528756376,26.743893263452723,1.8769028348258971
116,34.78092831339771,1.1133849443200992,36.75364802839241,0.6562958693400143,27.312208747960852,0.7286857196670092
117,34.736512917968824,1.0767729085956594,36.742013080418864,0.666793826703735,27.421928148893038,0.6931008507057507
118,34.69209752253994,1.036780477709729,36.708198642182026,0.701687834575937,27.53164754982522,0.6350671910762087
119,34.647682127111054,0.9929993056704729,36.56818440269454,0.695267527141368,27.6413669507574,0.5474920290230704
120,34.60326673168217,0.9449028960647967,36.42817016320705,0.6567337964748793,27.751086351689587,0.41194701508343706
121,34.272293060751046,1.099647668356767,36.288155923719565,0.579717907776682,27.81443705126293,0.2168143775468703
122,34.14097607786061,1.2590542142045165,36.14814168423208,0.444654533083009,27.748091999220826,0.2667667187198383
123,34.00965909497016,1.3868211507255876,36.15208610011596,0.4572488343216018,27.68174694717872,0.2926377027572292
124,33.87834211207972,1.4911040084124068,36.27386526522404,0.6076947809896083,27.615401895136614,0.3007083352460888
125,33.74702512918928,1.576569787138287,36.39564443033211,0.7048993077566662,27.549056843094508,0.29245600635118857
126,33.75139368873832,1.5762717274209326,36.51742359544019,0.7693157727421953,27.501943092401532,0.25536464257344105
127,33.60052095567556,1.4863953526273317,36.63920276054827,0.8088164928982899,27.474805692391822,0.24052062974020763
128,33.44964822261281,1.3726004700850396,36.75505111036148,0.8215170863612368,27.447668292382115,0.2210635232917444
129,33.298775489550046,1.2282570077810246,36.893078950437975,0.7899188712193024,27.42053089237241,0.19562163652127537
130,33.14790275648729,1.0407309087217034,37.03110679051447,0.7287932606944825,27.393393492362698,0.16138898155057904
131,32.90401155916092,0.7509271636732202,37.16913463059097,0.6295980498376824,27.40306371390379,0.18679954906407187
132,32.94667863733679,0.7184911016555999,37.307162470667464,0.4687580246625415,27.459102636803724,0.22511004358620346
133,32.98934571551266,0.6815880472412226,37.267689550248484,0.5994267653603862,27.515141559703654,0.24402089660661969
134,33.03201279368853,0.6394450829381549,37.08425797445813,0.8021473796351545,27.571180482603584,0.24801022217337956
135,33.074679871864404,0.5909422196909945,36.90082639866779,0.9238748160261911,27.627219405503517,0.23783008364955419
136,33.35015845258684,0.8022032442411006,36.717394822877445,0.9947990843009795,27.765686681610408,0.39092340503593986
137,33.489951490869785,0.9790490995991721,36.533963247087094,1.0255155025505274,27.88492265636817,0.4792242744082768
138,33.62974452915274,1.1093023158570072,35.82235271994682,2.267088889154833,28.004158631125932,0.524607303486361
139,33.76953756743569,1.208128101937148,35.116673008101415,2.853787732273111,28.123394605883696,0.538044479269296
140,33.909330605718644,1.2828105033868247,34.41099329625601,3.170639104006201,28.242630580641457,0.5220086412933702
141,33.7305860305288,1.4453429895176557,33.705313584410604,3.2963973899200183,28.322036751210845,0.45337919237903695
142,33.64485991960257,1.5405276792690417,32.9996338725652,3.2532990477555708,28.36463530022943,0.42766444968255396
143,33.559133808676336,1.6251975198209923,32.84519949802168,3.0571190307492535,28.407233849248012,0.39528327934485213
144,33.473407697750105,1.7009234847172194,32.868265883973635,3.0797197689017013,28.449832398266597,0.3544131209539001
145,33.387681586823874,1.7688546288163007,32.891332269925584,3.10196718451448,28.492430947285182,0.30162269418310017
146,33.50503677981625,1.7579726313883044,32.91439865587754,3.123868826422052,28.4910337630972,0.3048266142021767
147,33.389580470262075,1.6742831974330283,32.9374650418295,3.1454319174994616,28.407208225702252,0.343552186593722
148,33.27412416070789,1.5769129104005375,33.109783939034244,3.343324485578207,28.32338268830731,0.357320807563287
149,33.15866785115371,1.4631329666350583,33.81028178758891,3.3538554516116124,28.239557150912365,0.3490980213908676
150,33.043211541599526,1.3287345402320976,34.51077963614358,3.1998969117641423,28.155731613517418,0.31717804460167925
151,32.37988643212891,1.8544184954551233,35.21127748469825,2.854960627172479,28.05185397909506,0.27928987844420217
152,32.0350989361311,2.2924259783595033,35.91177533325292,2.232202096734762,27.987806148861075,0.28828005228110715
153,31.690311440133282,2.609604042370572,36.48866395765482,0.8368100649185066,27.923758318627094,0.281395214703662
154,31.345523944135465,2.8466325950821187,36.51430724475484,0.8148234150494874,27.85971048839311,0.2573644714138759
155,31.00073644813765,3.0224275816864346,36.539950531854856,0.7913132367752079,27.795662658159127,0.2103924937046685
156,31.147888727597824,3.0988121102047033,36.56559381895488,0.7661392873995934,27.854780044851918,0.39111162757697493
157,31.091959703139388,3.048459273562934,36.5912371060549,0.7391315882286525,27.95789316475128,0.5189187399973999
158,31.036030678680948,2.99611242580836,36.62063394260264,0.7065877182196629,28.06100628465064,0.6018254880986946
159,30.98010165422251,2.941665118752564,36.50077826789759,0.6802305750637189,28.16411940455,0.6570540947594339
160,30.92417262976407,2.8849984317116535,36.38092259319254,0.6281379027684614,28.267232524449362,0.6912706811844476
161,31.118713752699396,3.1672737897439074,36.261066918487494,0.5429520903978544,27.96471059568954,1.3270174961677192
162,31.861123675551152,3.296135695663556,36.14121124378244,0.40426832422369435,27.68224076395713,1.6869545001642403
163,32.603533598402905,3.2380269151829126,36.12801391173502,0.36056176314493144,27.399770932224722,1.9378130155584836
164,33.34594352125466,2.9820373231841377,36.23842580384036,0.482415691763941,27.117301100492313,2.1186993246012253
165,34.08835344410642,2.46732555704962,36.34883769594569,0.5555405343066914,26.834831268759903,2.24657920403841
