Time,Hour,0x00,0x01,QoS
434,2020-10-30T11:58:07-07:00,0.004864,0,22.347744
435,2020-10-30T11:58:08-07:00,0.004864,0,19.841536
436,2020-10-30T11:58:09-07:00,0.004864,0,21.229056
437,2020-10-30T11:58:10-07:00,0.004864,0,19.876224
438,2020-10-30T11:58:11-07:00,0.004864,0,21.428512
439,2020-10-30T11:58:12-07:00,0.004864,0,19.798176
440,2020-10-30T11:58:13-07:00,0.004864,0,20.569984
441,2020-10-30T11:58:14-07:00,0.009848,0,22.946112
442,2020-10-30T11:58:15-07:00,0.004864,0,18.8616
443,2020-10-30T11:58:16-07:00,0.004864,0,20.795456
444,2020-10-30T11:58:17-07:00,0.004864,0,20.257792
445,2020-10-30T11:58:18-07:00,0.004864,0,20.717408
446,2020-10-30T11:58:19-07:00,0.004864,0,21.437184
447,2020-10-30T11:58:20-07:00,0.004864,0,20.058336
448,2020-10-30T11:58:21-07:00,0.004864,0,20.63936
449,2020-10-30T11:58:22-07:00,0.004864,0,20.838816
450,2020-10-30T11:58:23-07:00,0.005488,0,21.307104
451,2020-10-30T11:58:24-07:00,0.009848,0,21.567264
452,2020-10-30T11:58:25-07:00,0.004864,0,20.630688
453,2020-10-30T11:58:26-07:00,0.004864,0,19.884896
454,2020-10-30T11:58:27-07:00,0.004864,0,11.915328
