Time,Hour,STA 2,STA 1
342,2020-10-30T12:07:40-07:00,13.59034593,0.008394052
343,2020-10-30T12:07:41-07:00,13.26992957,0
344,2020-10-30T12:07:42-07:00,12.93838122,0.00890771
345,2020-10-30T12:07:43-07:00,12.86573543,0
346,2020-10-30T12:07:44-07:00,13.41207877,0.00487892
347,2020-10-30T12:07:45-07:00,12.64067884,0.004524808
348,2020-10-30T12:07:46-07:00,13.13227986,0.005025086
349,2020-10-30T12:07:47-07:00,12.80655404,0.004769354
350,2020-10-30T12:07:48-07:00,12.14458149,0.004535324
351,2020-10-30T12:07:49-07:00,13.14613015,0.00488651
352,2020-10-30T12:07:50-07:00,12.15804983,0.007725317
353,2020-10-30T12:07:51-07:00,12.4292867,0
354,2020-10-30T12:07:52-07:00,11.30939241,0.004346948
355,2020-10-30T12:07:53-07:00,13.35449318,0.005223074
356,2020-10-30T12:07:54-07:00,12.04035597,0.004595269
357,2020-10-30T12:07:55-07:00,12.42243719,0.008879525
358,2020-10-30T12:07:56-07:00,11.69802874,0
359,2020-10-30T12:07:57-07:00,11.84448169,0.004879693
360,2020-10-30T12:07:58-07:00,11.82581005,0.004747388
361,2020-10-30T12:07:59-07:00,11.72886452,0.004741911
362,2020-10-30T12:08:00-07:00,11.58316124,0.008487222
363,2020-10-30T12:08:01-07:00,11.07249855,0
364,2020-10-30T12:08:02-07:00,11.71825941,0.005296448
365,2020-10-30T12:08:03-07:00,11.58934556,0.004759638
366,2020-10-30T12:08:04-07:00,11.7594295,0.004780241
367,2020-10-30T12:08:05-07:00,11.13431448,0.008657898
368,2020-10-30T12:08:06-07:00,11.2222502,0
369,2020-10-30T12:08:07-07:00,10.66824717,0.005016144
370,2020-10-30T12:08:08-07:00,11.25423872,0.00468575
371,2020-10-30T12:08:09-07:00,10.87875893,0.004521962
372,2020-10-30T12:08:10-07:00,10.80423569,0.004848827
373,2020-10-30T12:08:11-07:00,10.64176406,0.004795139
374,2020-10-30T12:08:12-07:00,10.25620823,0.008687885
375,2020-10-30T12:08:13-07:00,10.420894,0
376,2020-10-30T12:08:14-07:00,10.85827682,0.004829278
377,2020-10-30T12:08:15-07:00,10.79420898,0.00477359
378,2020-10-30T12:08:16-07:00,10.11064653,0.004828965
379,2020-10-30T12:08:17-07:00,4.3811097,0.004441242
380,2020-10-30T12:08:18-07:00,2.890455173,0.004495772
381,2020-10-30T12:08:19-07:00,2.920420544,0.005291619
382,2020-10-30T12:08:20-07:00,4.670163611,0.004595873
383,2020-10-30T12:08:21-07:00,13.41325692,0.004658347
384,2020-10-30T12:08:22-07:00,13.49466456,0.004869702
385,2020-10-30T12:08:23-07:00,13.88963725,0.004732281
386,2020-10-30T12:08:24-07:00,13.26356895,0.004723535
387,2020-10-30T12:08:25-07:00,13.72497991,0.009020103
388,2020-10-30T12:08:26-07:00,13.73159168,0
389,2020-10-30T12:08:27-07:00,9.019718328,0.00434808
390,2020-10-30T12:08:28-07:00,4.807615074,0.005184647
391,2020-10-30T12:08:29-07:00,3.247845656,0.004544328
392,2020-10-30T12:08:30-07:00,3.793020411,0.008541105
393,2020-10-30T12:08:31-07:00,12.54096768,0
394,2020-10-30T12:08:32-07:00,12.85822412,0.004663537
395,2020-10-30T12:08:33-07:00,13.58297152,0.004980548
396,2020-10-30T12:08:34-07:00,12.93901363,0.008610442
397,2020-10-30T12:08:35-07:00,13.47581178,0.00525282
398,2020-10-30T12:08:36-07:00,12.73090661,0.004515332
399,2020-10-30T12:08:37-07:00,13.37283415,0
400,2020-10-30T12:08:38-07:00,12.43116302,0.004493098
