#;approach;throughput;slice
728;Gómez et al.;null;QoS 1
729;Gómez et al.;null;QoS 1
730;Gómez et al.;null;QoS 1
731;Gómez et al.;null;QoS 1
732;Gómez et al.;null;QoS 1
733;Gómez et al.;null;QoS 1
734;Gómez et al.;null;QoS 1
735;Gómez et al.;null;QoS 1
736;Gómez et al.;null;QoS 1
737;Gómez et al.;null;QoS 1
738;Gómez et al.;null;QoS 1
739;Gómez et al.;null;QoS 1
740;Gómez et al.;null;QoS 1
741;Gómez et al.;null;QoS 1
742;Gómez et al.;null;QoS 1
743;Gómez et al.;null;QoS 1
744;Gómez et al.;null;QoS 1
745;Gómez et al.;null;QoS 1
746;Gómez et al.;null;QoS 1
747;Gómez et al.;null;QoS 1
748;Gómez et al.;null;QoS 1
749;Gómez et al.;null;QoS 1
750;Gómez et al.;null;QoS 1
751;Gómez et al.;null;QoS 1
752;Gómez et al.;null;QoS 1
753;Gómez et al.;null;QoS 1
754;Gómez et al.;null;QoS 1
755;Gómez et al.;null;QoS 1
756;Gómez et al.;null;QoS 1
