Time;Hour;0x02;0x03;QoS 1;BE 3;BE 4;0x00;0x01
286;2020-11-23T17:54:40+01:00;null;null;null;null;null;0.083;null
287;2020-11-23T17:54:41+01:00;null;null;null;null;null;0.084;null
288;2020-11-23T17:54:42+01:00;null;null;null;null;null;0.062;null
289;2020-11-23T17:54:43+01:00;null;null;null;null;null;0.083;null
290;2020-11-23T17:54:44+01:00;null;null;null;null;null;0.04;null
291;2020-11-23T17:54:45+01:00;null;null;null;null;null;0.038;null
292;2020-11-23T17:54:46+01:00;null;null;null;null;null;0.037;null
293;2020-11-23T17:54:47+01:00;null;null;null;null;null;0.044;null
294;2020-11-23T17:54:48+01:00;null;null;null;null;null;0.039;null
295;2020-11-23T17:54:49+01:00;null;null;null;null;null;0.043;null
296;2020-11-23T17:54:50+01:00;null;null;null;null;null;0.04;null
297;2020-11-23T17:54:51+01:00;null;null;null;null;null;0.04;null
298;2020-11-23T17:54:52+01:00;null;null;null;null;null;0.04;null
299;2020-11-23T17:54:53+01:00;null;null;null;null;null;null;null
300;2020-11-23T17:54:54+01:00;null;null;null;null;null;null;null
301;2020-11-23T17:54:55+01:00;null;null;null;null;null;null;null
302;2020-11-23T17:54:56+01:00;null;null;null;null;null;null;null
303;2020-11-23T17:54:57+01:00;null;null;null;null;null;null;null
304;2020-11-23T17:54:58+01:00;null;null;null;null;null;null;null
305;2020-11-23T17:54:59+01:00;null;null;null;null;null;null;null
306;2020-11-23T17:55:00+01:00;null;null;null;null;null;null;null
307;2020-11-23T17:55:01+01:00;null;null;null;null;null;null;null
308;2020-11-23T17:55:02+01:00;null;null;null;null;null;null;null
309;2020-11-23T17:55:03+01:00;null;null;null;null;null;null;null
310;2020-11-23T17:55:04+01:00;null;null;null;null;null;null;null
311;2020-11-23T17:55:05+01:00;null;null;null;null;null;null;null
312;2020-11-23T17:55:06+01:00;null;null;null;null;null;null;null
313;2020-11-23T17:55:07+01:00;null;null;null;null;null;null;null
314;2020-11-23T17:55:08+01:00;null;null;null;null;null;null;null
315;2020-11-23T17:55:09+01:00;null;null;null;null;null;null;null
316;2020-11-23T17:55:10+01:00;null;null;null;null;null;null;null
317;2020-11-23T17:55:11+01:00;null;null;null;null;null;null;null
318;2020-11-23T17:55:12+01:00;null;null;null;null;null;null;null
319;2020-11-23T17:55:13+01:00;null;null;null;null;null;null;null
320;2020-11-23T17:55:14+01:00;null;null;null;null;null;null;null
321;2020-11-23T17:55:15+01:00;null;null;null;null;null;null;null
322;2020-11-23T17:55:16+01:00;null;null;null;null;null;null;null
323;2020-11-23T17:55:17+01:00;null;null;null;null;null;null;null
324;2020-11-23T17:55:18+01:00;null;null;null;null;null;null;null
325;2020-11-23T17:55:19+01:00;null;null;null;null;null;null;null
326;2020-11-23T17:55:20+01:00;null;null;null;null;null;null;null
327;2020-11-23T17:55:21+01:00;null;null;null;null;null;null;null
328;2020-11-23T17:55:22+01:00;null;null;null;null;null;null;null
329;2020-11-23T17:55:23+01:00;null;null;null;null;null;null;null
330;2020-11-23T17:55:24+01:00;null;null;null;null;null;null;null
331;2020-11-23T17:55:25+01:00;null;null;null;null;null;null;null
332;2020-11-23T17:55:26+01:00;null;null;null;null;null;null;null
333;2020-11-23T17:55:27+01:00;null;null;null;null;null;null;null
334;2020-11-23T17:55:28+01:00;null;null;null;null;null;null;null
335;2020-11-23T17:55:29+01:00;null;null;null;null;null;null;null
336;2020-11-23T17:55:30+01:00;null;null;null;null;null;null;null
337;2020-11-23T17:55:31+01:00;null;null;null;null;null;null;null
338;2020-11-23T17:55:32+01:00;null;null;null;null;null;null;null
339;2020-11-23T17:55:33+01:00;null;null;null;null;195.247;null;null
340;2020-11-23T17:55:34+01:00;null;null;null;null;195.247;85.329;null
341;2020-11-23T17:55:35+01:00;null;null;515.494;null;923.25;354.619;null
342;2020-11-23T17:55:36+01:00;null;null;1381.837;null;1323.04;null;null
343;2020-11-23T17:55:37+01:00;null;null;1932.8029999999999;null;1866.217;94.484;null
344;2020-11-23T17:55:38+01:00;null;null;1932.8029999999999;null;1866.217;554.656;null
345;2020-11-23T17:55:39+01:00;null;null;2373.822;null;2392.532;null;null
346;2020-11-23T17:55:40+01:00;null;null;3052.945;null;3128.223;1321.3519999999999;null
347;2020-11-23T17:55:41+01:00;null;null;3865.509;null;3944.939;1317.771;null
348;2020-11-23T17:55:42+01:00;null;null;3860.719;null;4400.726;450.132;null
349;2020-11-23T17:55:43+01:00;null;null;3860.719;null;4400.726;81.036;null
350;2020-11-23T17:55:44+01:00;null;null;1504.847;null;2190.524;89.392;null
351;2020-11-23T17:55:45+01:00;null;null;1374.579;null;1710.4479999999999;null;null
352;2020-11-23T17:55:46+01:00;null;null;1601.458;null;1710.165;119.952;null
353;2020-11-23T17:55:47+01:00;null;null;1601.458;null;1710.165;null;null
354;2020-11-23T17:55:48+01:00;null;null;1580.591;null;1669.781;39.344;null
355;2020-11-23T17:55:49+01:00;null;null;null;null;null;82.525;null
356;2020-11-23T17:55:50+01:00;null;null;null;null;null;40.37;null
357;2020-11-23T17:55:51+01:00;null;null;null;null;null;22.313;null
358;2020-11-23T17:55:52+01:00;null;null;null;null;null;66.78;null
359;2020-11-23T17:55:53+01:00;null;null;null;null;null;null;null
360;2020-11-23T17:55:54+01:00;null;null;null;null;null;null;null
361;2020-11-23T17:55:55+01:00;null;null;null;null;null;null;null
362;2020-11-23T17:55:56+01:00;null;null;null;null;null;null;null
363;2020-11-23T17:55:57+01:00;null;null;null;null;null;null;null
364;2020-11-23T17:55:58+01:00;null;null;null;null;null;null;null
365;2020-11-23T17:55:59+01:00;null;null;null;null;null;null;null
366;2020-11-23T17:56:00+01:00;null;null;null;null;null;null;null
367;2020-11-23T17:56:01+01:00;null;null;null;null;null;null;null
368;2020-11-23T17:56:02+01:00;null;null;null;null;null;null;null
369;2020-11-23T17:56:03+01:00;null;null;null;null;null;null;null
370;2020-11-23T17:56:04+01:00;null;null;null;null;null;null;null
371;2020-11-23T17:56:05+01:00;null;null;null;null;null;null;null
372;2020-11-23T17:56:06+01:00;null;null;null;null;null;null;null
373;2020-11-23T17:56:07+01:00;null;null;null;null;null;null;null
374;2020-11-23T17:56:08+01:00;null;null;null;null;null;null;null
375;2020-11-23T17:56:09+01:00;null;null;null;null;null;null;null
376;2020-11-23T17:56:10+01:00;null;null;null;null;null;null;null
377;2020-11-23T17:56:11+01:00;null;null;null;null;null;null;null
378;2020-11-23T17:56:12+01:00;null;null;null;null;null;null;null
379;2020-11-23T17:56:13+01:00;null;null;null;null;null;null;null
380;2020-11-23T17:56:14+01:00;null;null;null;null;null;null;null
381;2020-11-23T17:56:15+01:00;null;null;null;null;null;null;null
382;2020-11-23T17:56:16+01:00;null;null;null;null;null;null;null
383;2020-11-23T17:56:17+01:00;null;null;null;null;null;null;null
384;2020-11-23T17:56:18+01:00;null;null;null;null;null;null;null
385;2020-11-23T17:56:19+01:00;null;null;null;null;null;null;null
386;2020-11-23T17:56:20+01:00;null;null;null;null;null;null;null
387;2020-11-23T17:56:21+01:00;null;null;null;null;null;null;null
388;2020-11-23T17:56:22+01:00;null;null;null;null;null;null;null
389;2020-11-23T17:56:23+01:00;null;null;null;null;null;null;null
390;2020-11-23T17:56:24+01:00;null;null;null;null;null;null;null
391;2020-11-23T17:56:25+01:00;null;null;null;null;null;null;null
392;2020-11-23T17:56:26+01:00;null;null;null;null;null;null;null
393;2020-11-23T17:56:27+01:00;null;null;null;null;null;null;null
394;2020-11-23T17:56:28+01:00;null;null;null;null;null;null;null
395;2020-11-23T17:56:29+01:00;null;null;null;null;null;null;null
396;2020-11-23T17:56:30+01:00;null;null;null;null;null;null;null
397;2020-11-23T17:56:31+01:00;null;null;null;null;null;null;null
398;2020-11-23T17:56:32+01:00;null;null;null;null;null;null;null
399;2020-11-23T17:56:33+01:00;null;null;null;null;null;null;null
